MealType,Name,Ingredients,Protein,Carbs,Fat
Mid-Morning,Sprout salad with lemon,sprouts;onion;tomato;lemon,9,14,1
Mid-Morning,Corn chaat,boiled corn;onion;tomato;chili;lemon,5,28,3
Lunch,Dal + spinach + 1 veg curry + curd + white rice,toor dal;spinach;vegetables;curd;white rice,21,62,14
Lunch,Roti + mixed vegetable curry,wheat flour;mixed vegetables;onion;tomato;oil,12,46,9
Lunch,Roti + egg curry,wheat flour;egg;onion;tomato;spices,20,35,12
Lunch,Veg biryani + cucumber raita (greek yogurt),basmati rice;vegetables;ghee;greek yogurt;cucumber,16,58,15
Lunch,Jeera rice + paneer curry,white rice;paneer;jeera;spices;onion;tomato,22,54,16
Lunch,Sambar rice,white rice;toor dal;vegetables;sambar powder;ghee,14,60,11
Lunch,Egg fried rice,white rice;egg;spring onion;soy sauce;oil,20,52,13
Lunch,Veg pulao + raita,basmati rice;vegetables;ghee;greek yogurt,15,55,12
Lunch,Palak paneer + 2 phulkas,spinach;paneer;wheat flour;spices,23,30,13
Lunch,Chole masala + jeera rice,chickpeas;white rice;spices;tomato;onion,18,58,9
Lunch,Rajma curry + rice,kidney beans;white rice;tomato;onion;spices,19,56,8
Lunch,Bhindi masala + roti,ladyfinger;onion;tomato;spices;wheat flour,10,42,8
Lunch,Aloo gobi + roti,potato;cauliflower;wheat flour;spices,9,44,10
Lunch,Vegetable kurma + parotta,vegetables;coconut;cashew;spices;maida,10,48,14
Lunch,Veg kadai + jeera rice,vegetables;capsicum;tomato;white rice;spices,16,55,12
Lunch,Tawa paneer + roti,paneer;onion;tomato;spices;wheat flour,25,34,14
Lunch,Lauki curry + rice,bottle gourd;tomato;white rice;spices,9,50,8
Lunch,Drumstick sambar + rice,drumstick;dal;white rice;spices,14,56,10
Lunch,Aloo beans curry + phulka,potato;beans;wheat flour;spices,9,45,9
Lunch,Vegetarian thali (rice + roti + dal + curry + curd),rice;roti;dal;vegetable;curd,24,70,17
Evening Snack,Fruit (apple / pomegranate / orange),apple;orange;pomegranate,1,22,0
Evening Snack,Honey amla pieces (2 tbsp),amla;honey,0,12,0
Evening Snack,Greek yogurt cup,greek yogurt,8,12,3
Evening Snack,Dry fruit trail mix (34g),almonds;walnuts;cashews;raisins;cranberries,6,16,9
Evening Snack,Paneer cubes pan-fried (60g),paneer;olive oil;spices,14,3,10
Evening Snack,Clean protein bar (18g protein),protein blend;dates;nuts,18,24,8
Evening Snack,Masala chai + roasted chana (30g),tea;milk;spices;roasted chana,9,14,3
Evening Snack,Carrot sticks + hummus,carrot;hummus;olive oil;chickpeas,4,8,5
Evening Snack,Steamed dhokla,besan;curd;lemon;spices,6,15,5
Evening Snack,Roasted makhana (30g),makhana;ghee;spices,5,12,6
Evening Snack,Masala sweet potato cubes,sweet potato;olive oil;spices,3,26,4
Evening Snack,Peanut chikki (small piece),peanuts;jaggery,5,18,7
Dinner,Dosa (2) + chutney + egg,dosa;peanut chutney;egg,18,40,13
Dinner,Curd rice (buffalo curd),white rice;buffalo curd;seasoning,9,45,10
Dinner,Millet roti (2) + dal curry,millet flour;toor dal;spices;ghee,17,42,11
Dinner,Vegetable sambar + 2 phulkas + curd,vegetables;dal;wheat flour;curd,18,52,10
Dinner,Veg khichdi + ghee,rice;moong dal;vegetables;ghee,13,44,9
Dinner,Egg curry + 2 wheat rotis,egg;wheat flour;tomato;onion;spices,22,38,12
Dinner,Paneer bhurji + 2 rotis,paneer;onion;tomato;spices;wheat flour,25,36,14
Dinner,Vegetable pulao + raita,basmati rice;vegetables;greek yogurt,15,55,11
Dinner,Mixed veg curry + 2 phulkas,mixed vegetables;onion;tomato;spices;wheat flour,14,48,9
Dinner,Egg fried rice,white rice;egg;onion;soy sauce;oil,20,52,13
Dinner,Oats khichdi,oats;moong dal;vegetables;ghee,13,42,8
Dinner,Quinoa upma,quinoa;vegetables;spices;ghee,12,40,9
Dinner,Moong dal chilla + chutney,moong dal;onion;tomato;chutney,15,24,7
Dinner,Veg stew + appam,vegetables;coconut milk;appam;spices,10,50,12
Dinner,Light pongal,rice;moong dal;black pepper;ghee,10,36,8
Dinner,Idiyappam + kurma,idiyappam;vegetable kurma;coconut milk,9,46,10
Dinner,Dal soup + toast,dal;spices;wheat bread,10,28,5
Dinner,Tomato rasam + rice,tomato;dal;rice;spices,9,40,6
Bedtime,Warm turmeric milk (low-fat; 1 cup) + cinnamon + black pepper,low-fat milk;turmeric;cinnamon;black pepper,8,10,4
Bedtime,Buttermilk (small glass) + roasted jeera,greek yogurt;water;roasted jeera;salt,5,6,2
